path,transcription
voice dataset/commands/bër_gua̱mɛ.wav,bër gua̱mɛ
voice dataset/commands/bitni̱.wav,bitni̱
voice dataset/commands/ɛŋu_ci̱_bit_ɔ.wav,ɛŋu ci̱ bit ɔ
voice dataset/commands/gäk_bap.wav,gäk bap
voice dataset/commands/gäk_ka̱ra̱bɛ.wav,gäk ka̱ra̱bɛ
voice dataset/commands/gäk_wernyin.wav,gäk wernyin
voice dataset/commands/jiɛc_rɔ.wav,jiɛc rɔ
voice dataset/commands/jiɛc_rɔ_du.wav,jiɛc rɔ du
voice dataset/commands/jiɛrɔ.wav,jiɛrɔ
voice dataset/commands/jiɛrɔdu.wav,jiɛrɔdu
voice dataset/commands/lɛp_bap.wav,lɛp bap
voice dataset/commands/lɛp_wernyin.wav,lɛp wernyin
voice dataset/commands/nyuri̱.wav,nyuri̱
voice dataset/commands/nyuri̱_piny.wav,nyuri̱
voice dataset/commands/wër_gua̱mɔ.wav,wër gua̱mɔ
voice dataset/commands/wër_gua̱mi̱.wav,wër guami̱
voice dataset/commands/wër_raar.wav,wër raar
voice dataset/common objects/bɛ̈k_jani̱.wav,bɛ̈k jani̱
voice dataset/common objects/cɛ_tööl_ɛn_kɔm.wav,cɛ tööl ɛn kɔm
voice dataset/common objects/görä_pi̱w_ti̱_maathä.wav,görä pi̱w ti̱ maathä
voice dataset/common objects/jani̱_ɛn_bɛ̈k.wav,jani̱ ɛn bëk
voice dataset/common objects/kämni̱_ɣä_kadɛ.wav,kämni̱ ɣä kadɛ
voice dataset/common objects/kämni̱_ɣä_kubay.wav,kämni̱ ɣä kubay
voice dataset/common objects/kämni̱_ɣä_talɛpoon.wav,kämni̱ ɣä talɛpoon
voice dataset/common objects/käni̱_kɛ_kɛn_kiyni̱.wav,käni̱ kɛ kɛn kiyni̱
voice dataset/common objects/käni̱_kiyni̱.wav,käni̱ ki̱yni̱
voice dataset/common objects/kɔm_cɛ_tööl.wav,kɔm cɛ tööl
voice dataset/common objects/kiyni̱_käni̱_kɛ.wav,kiyni̱ käni̱ kɛ
voice dataset/common objects/meni̱_ɣä_ka̱m_kubay.wav,meni̱ ɣä kam kubay
voice dataset/common objects/mocä_pi̱w.wav,mocä pi̱w
voice dataset/common objects/nɛmɛ_ɛ_bok.wav,ɛmɛ ɛ bok
voice dataset/common objects/nɛmɛ_ɛ_galam.wav,nɛmɛ ɛ galam
voice dataset/common objects/ŋun_kubay.wav,ŋun kubay
voice dataset/days and time/ɛ_cäŋdäär.wav,ɛ cäŋdäär
